省,市,区县,数值
广东省,广州市,越秀区,100
广东省,广州市,天河区,200
广东省,广州市,海珠区,150
广东省,广州市,白云区,180
广东省,深圳市,南山区,300
广东省,深圳市,福田区,250
广东省,深圳市,罗湖区,220
广东省,深圳市,宝安区,280
广东省,珠海市,香洲区,80
广东省,珠海市,斗门区,60
广东省,佛山市,禅城区,180
广东省,佛山市,南海区,210
广东省,东莞市,,500
广东省,中山市,,320
北京市,北京市,朝阳区,500
北京市,北京市,海淀区,450
北京市,北京市,西城区,300
北京市,北京市,东城区,280
北京市,北京市,丰台区,220
北京市,北京市,石景山区,150
北京市,北京市,昌平区,180
北京市,北京市,大兴区,200
北京市,,,2280
上海市,上海市,黄浦区,200
上海市,上海市,徐汇区,180
上海市,上海市,长宁区,150
上海市,上海市,静安区,170
上海市,上海市,浦东新区,420
上海市,上海市,闵行区,190
上海市,上海市,宝山区,160
江苏省,南京市,鼓楼区,300
江苏省,南京市,玄武区,250
江苏省,南京市,秦淮区,200
江苏省,南京市,建邺区,180
江苏省,南京市,栖霞区,150
江苏省,苏州市,姑苏区,400
江苏省,苏州市,工业园区,500
江苏省,苏州市,虎丘区,300
江苏省,苏州市,吴中区,280
江苏省,无锡市,梁溪区,180
江苏省,无锡市,锡山区,220
江苏省,无锡市,滨湖区,200
江苏省,常州市,天宁区,170
江苏省,常州市,钟楼区,150
江苏省,徐州市,云龙区,160
江苏省,徐州市,鼓楼区,140
江苏省,南通市,崇川区,190
浙江省,杭州市,西湖区,400
浙江省,杭州市,上城区,280
浙江省,杭州市,拱墅区,250
浙江省,杭州市,滨江区,300
浙江省,宁波市,海曙区,200
浙江省,宁波市,江北区,180
浙江省,宁波市,鄞州区,250
浙江省,温州市,鹿城区,220
浙江省,温州市,龙湾区,180
浙江省,绍兴市,越城区,170
浙江省,金华市,婺城区,150
四川省,成都市,锦江区,350
四川省,成都市,武侯区,400
四川省,成都市,成华区,320
四川省,成都市,金牛区,300
四川省,成都市,青羊区,280
四川省,成都市,高新区,500
四川省,绵阳市,涪城区,200
四川省,绵阳市,游仙区,180
四川省,德阳市,旌阳区,160
四川省,宜宾市,翠屏区,180
四川省,南充市,顺庆区,170
陕西省,西安市,雁塔区,400
陕西省,西安市,碑林区,350
陕西省,西安市,莲湖区,300
陕西省,西安市,未央区,280
陕西省,西安市,高新区,500
陕西省,咸阳市,秦都区,200
陕西省,咸阳市,渭城区,180
陕西省,宝鸡市,渭滨区,170
陕西省,宝鸡市,金台区,150
湖北省,武汉市,武昌区,350
湖北省,武汉市,江岸区,300
湖北省,武汉市,江汉区,280
湖北省,武汉市,硚口区,250
湖北省,武汉市,汉阳区,270
湖北省,武汉市,洪山区,320
湖北省,宜昌市,西陵区,200
湖北省,宜昌市,伍家岗区,180
湖北省,襄阳市,樊城区,190
湖北省,襄阳市,襄城区,170
