省,市,区县,数值
广东省,广州市,荔湾区,90
广东省,广州市,从化区,75
广东省,汕头市,金平区,120
广东省,汕头市,龙湖区,150
广东省,韶关市,浈江区,80
广东省,湛江市,赤坎区,110
广东省,茂名市,茂南区,130
广东省,惠州市,惠城区,200
广东省,惠州市,惠阳区,180
广东省,清远市,清城区,95
广东省,肇庆市,端州区,100
广东省,梅州市,梅江区,85
广东省,阳江市,江城区,90
广东省,潮州市,湘桥区,100
广东省,揭阳市,榕城区,120
广东省,云浮市,云城区,70
广西壮族自治区,南宁市,青秀区,280
广西壮族自治区,南宁市,兴宁区,220
广西壮族自治区,南宁市,江南区,200
广西壮族自治区,南宁市,西乡塘区,240
广西壮族自治区,柳州市,城中区,180
广西壮族自治区,柳州市,鱼峰区,170
广西壮族自治区,桂林市,象山区,150
广西壮族自治区,桂林市,秀峰区,140
广西壮族自治区,梧州市,万秀区,110
广西壮族自治区,北海市,海城区,120
海南省,海口市,秀英区,150
海南省,海口市,龙华区,180
海南省,海口市,琼山区,130
海南省,海口市,美兰区,160
海南省,三亚市,吉阳区,140
海南省,三亚市,天涯区,120
云南省,昆明市,五华区,250
云南省,昆明市,盘龙区,230
云南省,昆明市,官渡区,210
云南省,昆明市,西山区,220
云南省,昆明市,呈贡区,180
云南省,大理白族自治州,大理市,150
云南省,红河哈尼族彝族自治州,蒙自市,130
云南省,曲靖市,麒麟区,160
云南省,玉溪市,红塔区,140
贵州省,贵阳市,云岩区,220
贵州省,贵阳市,南明区,200
贵州省,贵阳市,云岩区,180
贵州省,贵阳市,花溪区,170
贵州省,贵阳市,乌当区,150
贵州省,贵阳市,白云区,140
贵州省,遵义市,汇川区,180
贵州省,遵义市,红花岗区,160
贵州省,遵义市,播州区,140
贵州省,六盘水市,钟山区,120
内蒙古自治区,呼和浩特市,新城区,180
内蒙古自治区,呼和浩特市,回民区,150
内蒙古自治区,呼和浩特市,玉泉区,130
内蒙古自治区,呼和浩特市,赛罕区,170
内蒙古自治区,包头市,昆都仑区,200
内蒙古自治区,包头市,青山区,180
内蒙古自治区,包头市,东河区,150
内蒙古自治区,鄂尔多斯市,东胜区,220
内蒙古自治区,鄂尔多斯市,康巴什区,200
新疆维吾尔自治区,乌鲁木齐市,天山区,180
新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,160
新疆维吾尔自治区,乌鲁木齐市,新市区,150
新疆维吾尔自治区,乌鲁木齐市,水磨沟区,140
新疆维吾尔自治区,克拉玛依市,克拉玛依区,120
新疆维吾尔自治区,喀什地区,喀什市,110
新疆维吾尔自治区,和田地区,和田市,90
西藏自治区,拉萨市,城关区,150
西藏自治区,拉萨市,堆龙德庆区,80
西藏自治区,日喀则市,桑珠孜区,70
西藏自治区,昌都市,卡若区,60
宁夏回族自治区,银川市,兴庆区,180
宁夏回族自治区,银川市,金凤区,160
宁夏回族自治区,银川市,西夏区,140
宁夏回族自治区,银川市,永宁县,90
宁夏回族自治区,石嘴山市,大武口区,100
宁夏回族自治区,吴忠市,利通区,90
青海省,西宁市,城中区,140
青海省,西宁市,城东区,120
青海省,西宁市,城西区,100
青海省,西宁市,城北区,110
青海省,海东市,乐都区,80
