区域,GDP(亿元)
北京市,43760.70
天津市,18833.14
河北省,43944.10
山西省,25698.18
内蒙古自治区,24627.00
辽宁省,30209.40
吉林省,13531.19
黑龙江省,15883.90
上海市,47218.66
江苏省,128222.16
浙江省,82553.00
安徽省,47050.60
福建省,54355.10
江西省,32200.10
山东省,92069.00
河南省,61345.05
湖北省,58724.30
湖南省,50012.85
广东省,135673.16
广西壮族自治区,27202.39
海南省,7551.18
重庆市,30145.79
四川省,60132.90
贵州省,20913.25
云南省,30021.12
西藏自治区,2392.67
陕西省,33786.07
甘肃省,11863.80
青海省,3799.06
宁夏回族自治区,5314.95
新疆维吾尔自治区,19125.91
广州市,28839.00
深圳市,30664.85
珠海市,3676.50
汕头市,2735.90
佛山市,12232.50
韶关市,1306.70
湛江市,3060.20
肇庆市,2480.40
江门市,3154.70
茂名市,3264.80
惠州市,4896.80
梅州市,1182.40
汕尾市,1102.30
河源市,1109.20
阳江市,1241.60
清远市,1567.70
东莞市,10900.10
中山市,3551.20
潮州市,1250.60
揭阳市,2242.80
云浮市,1189.90
南京市,16355.30
无锡市,13953.50
徐州市,8118.80
常州市,9407.10
苏州市,23957.60
南通市,11389.40
连云港市,3864.40
淮安市,4108.10
盐城市,7079.70
扬州市,6602.10
镇江市,4750.60
泰州市,6500.10
宿迁市,4006.90
济南市,11826.40
青岛市,14920.70
淄博市,4470.50
枣庄市,2197.70
东营市,3576.30
烟台市,10215.00
潍坊市,7145.00
济宁市,5525.40
泰安市,3450.90
威海市,3592.60
日照市,2222.70
临沂市,6110.80
德州市,3487.60
聊城市,2914.80
滨州市,2877.20
菏泽市,4410.60
杭州市,18753.30
宁波市,15647.30
温州市,8032.50
嘉兴市,6204.40
湖州市,3949.50
绍兴市,6460.40
金华市,5587.80
衢州市,2087.30
舟山市,2013.10
台州市,6057.30
丽水市,1858.30
成都市,20017.30
自贡市,1649.30
攀枝花市,1172.60
泸州市,2386.40
德阳市,2465.70
绵阳市,3404.20
广元市,1104.70
遂宁市,1585.40
内江市,1580.40
乐山市,2106.40
南充市,2356.70
眉山市,1539.60
宜宾市,2959.40
广安市,1351.80
达州市,2145.90
雅安市,1041.70
巴中市,789.30
资阳市,1007.90
武汉市,18937.20
黄石市,1868.30
十堰市,1709.50
宜昌市,5175.90
襄阳市,5902.60
鄂州市,1248.70
荆门市,2015.20
孝感市,2201.80
荆州市,2760.10
黄冈市,2809.20
咸宁市,1633.30
随州市,1241.20
恩施土家族苗族自治州,1461.70
长沙市,14331.20
株洲市,3610.40
湘潭市,2564.70
衡阳市,4300.70
邵阳市,2442.90
岳阳市,4576.90
常德市,3879.90
张家界市,673.80
益阳市,2024.20
郴州市,3107.80
永州市,2272.80
怀化市,1879.10
娄底市,1967.60
