区域,GDP(亿元)
北京市,43760.70
天津市,18833.14
河北省,43944.10
山西省,25698.18
内蒙古自治区,24627.00
辽宁省,30209.40
吉林省,13531.19
黑龙江省,15883.90
上海市,47218.66
江苏省,128222.16
浙江省,82553.00
安徽省,47050.60
福建省,54355.10
江西省,32200.10
山东省,92069.00
河南省,61345.05
湖北省,58724.30
湖南省,50012.85
广东省,135673.16
广西壮族自治区,27202.39
海南省,7551.18
重庆市,30145.79
四川省,60132.90
贵州省,20913.25
云南省,30021.12
西藏自治区,2392.67
陕西省,33786.07
甘肃省,11863.80
青海省,3799.06
宁夏回族自治区,5314.95
新疆维吾尔自治区,19125.91
广州市,28839.00
深圳市,30664.85
珠海市,3676.50
佛山市,12232.50
东莞市,10900.10
中山市,3551.20
惠州市,4896.80
江门市,3154.70
韶关市,1306.70
湛江市,3060.20
肇庆市,2480.40
汕头市,2735.90
越秀区,3342.00
荔湾区,1306.00
海珠区,2898.00
天河区,6030.00
白云区,3095.00
黄埔区,4937.00
番禺区,3190.00
花都区,1910.00
南沙区,2463.00
增城区,1380.00
从化区,480.00
福田区,6200.00
罗湖区,3000.00
南山区,10300.00
宝安区,5600.00
龙岗区,5600.00
龙华区,3200.00
光明区,1700.00
坪山区,1200.00
盐田区,800.00
香洲区,3100.00
金湾区,1800.00
斗门区,900.00
禅城区,3500.00
南海区,4200.00
顺德区,4300.00
高明区,900.00
三水区,1400.00
