省,市,区县,数值
北京市,北京市,朝阳区,1250
北京市,北京市,海淀区,1180
北京市,北京市,西城区,890
北京市,北京市,东城区,720
北京市,北京市,丰台区,650
北京市,北京市,石景山区,420
北京市,北京市,昌平区,580
北京市,北京市,大兴区,610
北京市,北京市,通州区,720
北京市,北京市,顺义区,480
北京市,北京市,房山区,390
北京市,北京市,门头沟区,210
北京市,北京市,怀柔区,260
北京市,北京市,平谷区,240
北京市,北京市,密云区,300
北京市,北京市,延庆区,180
上海市,上海市,浦东新区,1580
上海市,上海市,黄浦区,920
上海市,上海市,徐汇区,850
上海市,上海市,长宁区,720
上海市,上海市,静安区,810
上海市,上海市,普陀区,690
上海市,上海市,虹口区,540
上海市,上海市,杨浦区,620
上海市,上海市,闵行区,880
上海市,上海市,宝山区,750
上海市,上海市,嘉定区,680
上海市,上海市,金山区,420
上海市,上海市,松江区,580
上海市,上海市,青浦区,460
上海市,上海市,奉贤区,510
广东省,广州市,天河区,1380
广东省,广州市,越秀区,920
广东省,广州市,海珠区,850
广东省,广州市,白云区,720
广东省,广州市,荔湾区,580
广东省,广州市,番禺区,690
广东省,广州市,花都区,420
广东省,广州市,从化区,280
广东省,广州市,增城区,360
广东省,深圳市,南山区,1680
广东省,深圳市,福田区,1480
广东省,深圳市,罗湖区,920
广东省,深圳市,宝安区,1180
广东省,深圳市,龙岗区,1050
广东省,深圳市,龙华区,820
广东省,深圳市,坪山区,480
广东省,深圳市,光明区,520
广东省,深圳市,盐田区,360
广东省,东莞市,东莞市,1680
广东省,佛山市,南海区,980
广东省,佛山市,禅城区,720
广东省,佛山市,顺德区,1050
广东省,佛山市,三水区,420
广东省,佛山市,高明区,360
广东省,珠海市,香洲区,580
广东省,珠海市,斗门区,320
广东省,珠海市,金湾区,290
广东省,中山市,中山市,690
广东省,惠州市,惠城区,520
广东省,惠州市,惠阳区,420
广东省,惠州市,博罗县,360
广东省,惠州市,龙门县,180
广东省,江门市,蓬江区,360
广东省,江门市,江海区,220
广东省,江门市,新会区,280
浙江省,杭州市,西湖区,1280
浙江省,杭州市,上城区,860
浙江省,杭州市,拱墅区,720
浙江省,杭州市,滨江区,980
浙江省,杭州市,余杭区,820
浙江省,杭州市,萧山区,750
浙江省,杭州市,临平区,580
浙江省,杭州市,钱塘区,520
浙江省,宁波市,鄞州区,820
浙江省,宁波市,海曙区,580
浙江省,宁波市,江北区,520
浙江省,宁波市,镇海区,420
浙江省,宁波市,北仑区,480
浙江省,温州市,鹿城区,580
浙江省,温州市,龙湾区,420
浙江省,温州市,瓯海区,360
浙江省,绍兴市,越城区,420
浙江省,金华市,婺城区,360
浙江省,台州市,椒江区,380
浙江省,嘉兴市,南湖区,420
江苏省,南京市,鼓楼区,920
江苏省,南京市,玄武区,720
江苏省,南京市,秦淮区,580
江苏省,南京市,建邺区,520
江苏省,南京市,栖霞区,420
江苏省,南京市,雨花台区,360
江苏省,南京市,江宁区,680
江苏省,苏州市,工业园区,1280
江苏省,苏州市,姑苏区,820
江苏省,苏州市,虎丘区,580
江苏省,苏州市,吴中区,520
江苏省,苏州市,相城区,420
江苏省,无锡市,梁溪区,580
江苏省,无锡市,锡山区,520
江苏省,无锡市,滨湖区,480
江苏省,常州市,天宁区,420
江苏省,常州市,钟楼区,360
江苏省,南通市,崇川区,480
江苏省,徐州市,云龙区,420
四川省,成都市,高新区,1280
四川省,成都市,武侯区,980
四川省,成都市,锦江区,860
四川省,成都市,成华区,720
四川省,成都市,金牛区,680
四川省,成都市,青羊区,580
四川省,绵阳市,涪城区,420
四川省,德阳市,旌阳区,320
湖北省,武汉市,武昌区,820
湖北省,武汉市,江岸区,720
湖北省,武汉市,江汉区,680
湖北省,武汉市,硚口区,520
湖北省,武汉市,汉阳区,580
湖北省,武汉市,洪山区,720
湖北省,宜昌市,西陵区,420
陕西省,西安市,高新区,1080
陕西省,西安市,雁塔区,820
陕西省,西安市,碑林区,720
陕西省,西安市,莲湖区,580
陕西省,西安市,未央区,520
陕西省,咸阳市,秦都区,420
